aid,uid,label
699,78508957,-1
1991,3637295,-1
1119,19229018,-1
2013,79277120,-1
692,41528441,-1
1119,62381478,-1
117,36832847,-1
389,22023604,-1
432,39527165,-1
1468,47080817,-1
1468,56085174,-1
404,22117015,-1
369,20159477,-1
411,49029134,-1
1940,31132182,-1
846,4039629,-1
543,20601591,-1
1415,22744430,-1
136,9828105,-1
1918,10336143,-1
561,75233751,-1
1468,72903924,-1
692,81670516,-1
1215,9947318,-1
846,35278604,-1
174,64116325,-1
1749,33838753,-1
1507,1320930,-1
1254,28769142,-1
1119,48708770,1
846,18634306,-1
1119,40672131,-1
916,39650505,-1
1415,60864809,-1
1335,44072024,1
1781,44285573,-1
2216,61237244,-1
117,47475273,-1
1119,64954925,1
436,68093353,-1
411,5256406,-1
1379,69938159,-1
432,64938005,-1
1605,34025684,-1
1566,54876557,-1
432,38454452,-1
1918,60491542,-1
1415,51156977,1
1728,64335974,-1
1904,40936344,-1
1407,58000262,-1
302,81352665,-1
1291,38358319,-1
692,52145834,-1
903,2217066,-1
1254,52265874,-1
1496,22862228,-1
916,21818509,-1
1605,2258262,-1
70,31511040,-1
302,9685368,-1
2031,56023654,-1
916,24552689,-1
1119,72702682,-1
1950,6190305,-1
765,77351073,-1
2044,7984138,-1
1566,66815603,-1
1379,70317685,-1
699,32650128,-1
369,16417505,-1
191,34971131,-1
1415,57819574,-1
916,28622289,-1
1566,7994109,-1
966,53608383,-1
561,35347584,-1
1201,53886088,-1
692,73996764,-1
369,32300456,1
136,40196103,-1
404,3690099,-1
369,24131128,-1
1468,47910804,-1
1379,13140929,-1
894,3596334,1
7,66429852,-1
1379,60696969,-1
1468,35825134,-1
1819,77714697,-1
846,38348970,-1
1918,82156772,-1
561,50511083,-1
173,10178454,-1
1379,61856062,-1
191,55861836,-1
2048,19662838,-1
1291,34552591,-1
1107,42695592,-1
1350,41497358,-1
2031,27195866,-1
688,16162119,-1
1201,68010161,-1
191,29352320,-1
191,68506212,-1
914,14271524,-1
1284,53470326,-1
1107,75761304,-1
191,50045382,-1
1468,58950186,-1
70,73222626,-1
1566,52203658,-1
286,30810158,-1
529,35466183,-1
1605,38026129,-1
561,52873995,-1
173,53468309,-1
1566,14974603,-1
1950,54704299,-1
411,764565,-1
432,2255587,-1
1468,78517296,-1
1119,49549070,-1
1918,54468510,-1
1254,61321991,-1
1950,18919872,-1
692,60585954,-1
1468,63545149,1
1254,50134234,-1
1291,80262002,-1
1044,60089880,-1
2031,69561396,-1
1940,11004128,-1
1918,42721219,-1
173,46965109,-1
1379,18308214,-1
966,5481239,-1
1622,63304831,-1
1596,61563581,-1
136,25031802,-1
1254,48513746,-1
792,9988157,-1
561,81260936,-1
389,279902,-1
1714,54613804,-1
191,54129227,-1
336,52250353,-1
2031,10068646,1
1119,36527173,-1
231,57978528,-1
1918,30692162,-1
1596,6586514,-1
1918,54663149,-1
846,52592275,-1
420,21547984,1
302,66762714,-1
1566,49247015,-1
369,75796170,-1
1468,14354520,-1
916,4976076,-1
1468,35084182,-1
939,75365386,-1
136,9476214,-1
1338,19193584,-1
302,38465760,-1
2047,32701898,-1
1746,44752953,-1
411,42078922,-1
311,1620969,-1
1291,52411168,-1
914,16053777,-1
1468,6938995,-1
70,38063767,-1
692,75503662,-1
1781,24488149,-1
916,67312009,-1
1716,16054191,-1
692,27042690,-1
1379,27974696,1
411,17828902,-1
1622,20967479,-1
692,4357412,-1
1254,20623764,-1
1284,78202974,-1
960,42208088,-1
1350,71886464,-1
1044,47074301,-1
432,24477523,-1
1407,8852328,-1
1503,77951745,-1
1379,15095533,-1
1904,30866123,-1
302,20336345,-1
846,35156445,-1
1017,58534311,-1
1566,19634292,-1
1605,35534038,-1
692,74616878,-1
70,24696694,-1
1918,14193492,-1
1044,72779900,-1
1291,64953808,-1
2066,20008733,-1
692,8051803,-1
1027,66620114,-1
692,36157305,-1
725,43228422,-1
302,19856371,-1
191,67249695,-1
1468,3202763,1
12,31703979,-1
1605,7502512,-1
1415,46502704,-1
411,71812125,-1
1918,16419335,-1
1918,16028961,-1
70,44400969,-1
302,33774716,-1
1746,44836980,-1
1605,41899198,-1
1468,70704609,-1
838,49014980,-1
519,71870985,-1
1566,81025267,-1
1291,59572881,-1
529,13656913,-1
1566,14893891,-1
688,74364950,-1
302,63249851,-1
411,60607085,-1
432,63680930,-1
916,57468754,-1
1468,71390921,-1
1407,64497279,-1
1119,20770599,-1
516,7617184,-1
1415,42904366,-1
173,46409915,-1
1017,2109521,-1
206,37592270,1
692,14425956,-1
1119,48364607,-1
191,44412100,-1
1508,40897495,-1
145,71181768,-1
2047,57324214,-1
212,46036663,-1
117,1005170,-1
1950,75094661,-1
1566,4116314,-1
914,56284565,-1
765,29617291,-1
1291,58715981,-1
1596,35559016,-1
411,42673582,-1
136,29783565,-1
1950,25037342,-1
561,73026607,-1
966,43369885,-1
1605,63681535,-1
2013,57028334,-1
191,69754610,1
2013,5020766,-1
432,60585809,-1
1827,45689112,-1
1714,22589510,-1
1605,48567891,-1
1182,77602181,-1
173,29135299,-1
1749,64377828,-1
692,65798770,-1
206,44697834,-1
404,36408780,-1
1566,49401210,-1
1182,69936412,-1
846,72331531,-1
1119,58688506,-1
12,58910186,-1
117,24334564,-1
1596,80593878,-1
1254,54979291,-1
1284,70021501,-1
2050,16445120,1
173,38974453,-1
1566,27461477,-1
916,28791439,-1
1512,40482079,-1
1566,77345071,-1
2031,68314919,-1
1940,12905640,-1
1925,33279185,-1
411,9105879,-1
1379,8840092,-1
1407,26490479,-1
660,29027348,-1
369,72764570,-1
177,69569679,-1
1635,37250967,-1
1119,54930428,-1
18,65246753,1
1468,11461211,-1
727,82195898,-1
1379,75728936,-1
1918,7778513,-1
692,79748308,-1
411,35006754,-1
1017,45527953,-1
1468,81434694,-1
206,72037454,-1
1017,36592534,-1
206,58567959,-1
432,55000379,-1
191,9608281,-1
1904,27631984,-1
1021,16988454,-1
1503,8710996,-1
2197,32560316,-1
1605,51089855,-1
1291,20350606,-1
136,49264619,-1
145,74237808,-1
1468,50499262,-1
692,53041537,-1
914,70138412,-1
450,54789037,-1
1940,7796419,-1
136,68658636,1
1918,10255526,-1
692,5810267,-1
748,13532572,-1
411,80870805,-1
1415,26738169,-1
117,718750,-1
286,33093061,-1
1622,65436621,-1
966,78582370,-1
311,55747297,-1
411,15988288,-1
1918,30710235,-1
846,67763800,-1
692,67060613,-1
1918,46605460,-1
1918,12066452,-1
543,13613002,-1
1827,13442533,-1
1021,67118144,-1
916,37649605,-1
1415,24030770,-1
173,57873383,-1
389,10374315,-1
311,15661643,1
561,22619921,-1
1998,50260985,-1
311,20316647,-1
692,4833809,-1
404,28074089,-1
727,36088021,-1
1119,11124843,-1
2169,67702158,-1
853,67783453,-1
389,63518675,-1
2050,77908615,-1
1827,14245007,-1
561,39662168,-1
1415,56671983,1
846,33388206,-1
1254,12497969,-1
1119,57808087,-1
1119,17725931,-1
7,29804974,-1
671,33324417,-1
411,32339270,-1
173,18494339,-1
471,38609351,-1
177,66984139,-1
432,34796395,-1
1749,67289917,-1
1671,58297443,-1
1291,21787705,-1
86,6941616,-1
692,7763948,-1
1605,55096607,-1
311,58346652,-1
432,57971699,-1
1119,43750469,-1
1119,6538644,-1
1827,6785438,-1
1635,79650287,-1
1119,34185427,-1
1781,2864670,-1
699,19061996,-1
411,79941147,-1
1530,51970574,-1
1415,19514184,-1
1918,77354056,-1
1605,78406733,-1
1335,7852705,-1
1291,43211600,-1
1728,40591363,-1
916,79397285,-1
272,12230680,-1
1254,13448628,-1
2118,32679984,-1
1201,6340334,-1
914,54022236,-1
411,15537777,-1
1407,22252465,-1
846,1343973,1
1468,70081349,-1
1468,15578796,-1
1377,42568282,-1
1970,18653017,-1
311,51668650,-1
561,62786008,-1
1496,67090704,-1
231,25187870,-1
529,55545733,-1
2201,48762683,-1
966,62674150,-1
846,14517410,-1
191,11339551,-1
136,22050587,-1
121,25163602,-1
1350,42670153,-1
1991,21229130,-1
1407,82367350,-1
1468,36712844,-1
725,77152074,-1
916,66576535,-1
699,51590482,-1
1119,24709232,-1
404,18315736,-1
1918,4539732,-1
1017,78479066,-1
1950,57883980,-1
1415,20943815,-1
2031,18068807,-1
411,69508685,-1
1728,79567775,-1
1017,63739858,-1
1291,38274830,-1
1827,14502938,1
231,35852930,-1
2196,80564813,-1
1468,55774590,-1
311,65870919,-1
70,64348129,-1
1728,26088780,-1
1338,12834030,-1
1415,52858905,-1
411,34155966,-1
692,17295260,-1
2054,59429585,-1
1415,26748120,-1
692,11059597,-1
411,56980332,-1
792,5295227,-1
2031,11719432,-1
1962,49016968,-1
1017,80980530,-1
12,59346409,-1
1201,67907542,-1
191,20581682,-1
1596,50051353,-1
286,1886947,-1
136,37488430,-1
692,58177200,-1
1215,50392510,-1
302,56842165,-1
404,67676358,-1
1415,12593965,-1
975,37081415,-1
1119,35888998,-1
1931,34128774,-1
311,14569043,-1
1017,34953767,-1
543,54436029,-1
302,51894479,-1
1291,3743002,-1
692,2977592,-1
2031,41124183,-1
613,59215981,-1
561,13501418,-1
173,52267733,-1
846,69540939,-1
681,31796421,-1
302,10323826,-1
411,69160640,1
1918,79255180,-1
1119,29365067,-1
2031,63125955,-1
561,34367993,-1
70,57633947,-1
2118,60873181,-1
1530,11621594,-1
1918,9148920,-1
1407,29475186,-1
966,31312498,-1
1596,77426137,-1
389,20106277,-1
692,3427412,-1
1716,23618139,-1
914,75598029,-1
1407,59713063,-1
561,49648100,-1
1530,64512702,-1
1350,47143247,-1
1728,22897525,-1
70,70428668,-1
699,14658348,-1
1530,40935807,-1
1918,20595575,-1
1119,50335,-1
1468,27499712,-1
2031,49688894,-1
1749,62814235,-1
1044,81356903,-1
2196,68129593,-1
681,44214333,-1
12,26312506,-1
692,61644549,-1
692,58680431,-1
1918,68113297,-1
1202,6707004,-1
846,46631815,-1
1728,12418513,-1
2031,29267423,-1
1171,65167218,-1
1918,62215684,-1
846,421544,-1
1017,6055246,-1
1468,34720944,-1
1468,54948028,-1
748,70409162,-1
1940,62050982,-1
1017,17024917,-1
1728,20520824,-1
1530,64147966,-1
1716,675293,-1
2054,58747296,-1
1605,78443739,-1
894,32796931,-1
1023,17132044,-1
136,9002185,-1
1375,3610676,-1
1596,21043507,1
543,23422628,1
561,68693799,-1
692,48601004,-1
173,47600023,-1
748,23746384,-1
369,17408993,-1
302,10573454,-1
966,50915974,-1
12,21823418,-1
1415,17479213,-1
1119,23680217,-1
727,12363587,-1
846,48931597,-1
432,28836658,-1
191,13956492,-1
1415,3932583,-1
1415,2234410,-1
692,47952742,-1
432,51629228,-1
1468,27868908,1
411,51010827,-1
727,55878022,-1
916,48015689,-1
1605,11353034,-1
1201,73233108,-1
173,13198229,-1
1291,51269192,-1
1918,42273755,-1
450,46886008,-1
1468,9710538,-1
624,19703183,-1
1415,57275647,-1
1605,79598055,-1
2205,78558860,-1
1140,16471672,-1
1918,26190313,-1
2205,28614912,-1
1790,71726559,-1
1468,14609898,-1
302,60849288,-1
561,2981334,-1
1714,78549851,-1
914,75764783,-1
692,14837740,-1
914,4603811,1
2013,48263394,-1
2118,79691584,-1
191,50412264,-1
206,4854051,-1
692,25058692,-1
543,21921854,-1
1107,2928943,-1
1749,55551494,-1
1379,33500782,1
1023,17642966,-1
1930,76354650,-1
846,34096921,-1
916,1739664,-1
2047,43458870,-1
725,56384009,-1
1415,28715443,-1
1841,18560049,-1
914,5409958,-1
70,68473150,-1
2216,5021024,-1
1940,56858032,-1
174,62452321,-1
561,31963951,1
411,45348623,-1
914,56245804,-1
1468,46268074,-1
12,36432695,-1
561,24040582,-1
1254,81103491,-1
1827,3670481,-1
311,72078742,-1
914,79842037,-1
205,1734525,-1
543,70577826,-1
117,57566123,-1
1291,59670204,-1
1429,62323705,-1
1377,75031611,-1
1605,60366970,-1
136,55587801,-1
914,52354262,-1
2112,48242554,-1
411,69908463,-1
543,20749444,-1
916,60700540,-1
1566,46913474,-1
2044,29314035,-1
212,36187406,-1
561,36604868,-1
2201,28987586,-1
1415,13706076,-1
411,21743968,-1
561,13793489,-1
1119,23718927,-1
1119,50163694,-1
1044,47506422,-1
543,31117954,-1
1468,81409377,-1
1957,46105792,-1
1291,49508822,-1
2154,49052700,-1
1530,3209285,-1
1468,3773031,-1
543,11667156,-1
692,2243866,-1
369,36899121,-1
411,56839295,-1
1291,80760334,-1
70,37855490,-1
1918,26548090,-1
699,13464433,-1
1119,46340833,-1
692,14387575,-1
136,75365129,-1
1291,61827653,-1
1407,82537292,-1
191,78682831,-1
369,38526430,-1
12,72518575,-1
1379,11174101,-1
302,75408969,-1
117,2464343,-1
1749,28540605,-1
411,47775057,-1
1819,78312723,-1
1140,884941,-1
177,39132943,-1
1415,13027264,-1
1379,62923026,-1
692,67010047,-1
1530,42778602,-1
561,76802245,-1
886,37946434,-1
692,10760409,-1
411,66988288,-1
692,80053775,-1
1962,29867481,-1
916,8090411,-1
914,5001504,-1
2201,19273806,-1
1605,71201283,-1
1918,33772686,-1
1596,73631944,-1
966,324032,-1
411,33965985,-1
765,73832944,-1
562,73841706,-1
1970,37203367,-1
12,79039025,-1
411,47126697,-1
1468,46154020,-1
2050,13580255,-1
1377,81074075,-1
117,58626439,-1
191,64645437,-1
1415,3479080,-1
1530,79738293,-1
1291,43701447,1
1950,39513145,-1
1317,37654082,-1
2118,28976361,-1
1119,61417903,-1
1215,6128506,-1
1119,29318770,-1
389,58158221,-1
1375,6302537,-1
389,69610185,-1
966,36980658,-1
1468,27584541,-1
1379,42702497,-1
1483,4122108,-1
686,57593305,-1
647,35736157,-1
1284,58835748,-1
1716,1960013,-1
1468,58622581,-1
311,25932217,-1
404,8877148,-1
311,71250935,1
231,26796848,-1
1580,64628503,-1
792,17197513,-1
966,23843366,-1
1119,80661915,-1
1566,67686403,-1
1605,14779065,-1
1407,51035554,-1
121,76233002,-1
411,6710537,-1
692,20478481,1
914,46015303,-1
1566,75260812,-1
121,5746865,-1
1377,20260340,-1
1566,11556673,-1
173,68957547,-1
1119,50276934,-1
1749,24779932,-1
411,52263168,-1
136,24336103,-1
1781,47736380,-1
1044,32651644,-1
113,58517012,-1
1918,41107086,1
519,32052808,-1
699,17850477,-1
1940,42922290,1
914,2458691,-1
846,62105689,-1
1566,48091466,-1
1119,15396297,-1
692,61282620,-1
471,27910959,-1
1119,26713130,-1
1140,4720482,-1
302,73624392,-1
692,43483213,-1
1950,42650066,-1
70,1577321,-1
1415,12022425,-1
1714,80340968,-1
914,1105432,-1
692,32675625,-1
686,74123553,-1
2118,53837149,-1
1842,21637710,1
1621,67463173,-1
748,59503459,-1
1201,1638041,-1
692,64434563,1
1925,13670269,-1
86,29597364,-1
212,4420108,-1
966,37847912,-1
231,37584059,-1
1468,62447448,-1
561,70822645,-1
846,35240455,-1
1171,71001130,-1
1931,48380159,-1
1605,11814490,-1
1918,31062496,-1
932,7425036,-1
692,25965449,-1
561,80684420,-1
692,63742407,-1
1202,23108982,-1
1119,27317862,-1
2013,41207815,-1
404,9977100,-1
1044,52363110,-1
191,51113520,-1
1530,19450036,-1
1291,18817788,-1
692,8370019,-1
1622,23105835,-1
966,71596846,-1
411,41945033,-1
1044,50394090,-1
117,55345405,-1
117,65034994,-1
98,67764950,-1
1044,24238560,-1
692,73733472,-1
1415,4768498,-1
1950,67798006,-1
191,68435780,-1
1379,13122775,-1
1335,8174552,-1
2118,48374226,-1
1119,64462464,-1
411,20173773,-1
846,75931427,-1
1201,47297253,-1
1819,68665257,-1
561,13960146,-1
411,51802957,-1
692,49556638,-1
846,61142734,-1
1468,68345169,-1
2013,79347325,-1
1254,53903822,-1
1377,52896777,-1
1023,2437196,-1
1377,26495014,-1
1468,70047798,-1
70,61889456,-1
302,43600615,-1
561,28272486,-1
939,78276382,-1
838,25910398,-1
1468,80899782,1
12,13949489,-1
302,43065549,1
692,3045957,-1
1017,40490700,-1
411,64193385,-1
1021,80295190,1
369,45126192,-1
1468,71002866,1
748,72463194,-1
692,22155477,-1
692,65394973,-1
1530,4537352,-1
404,56859668,-1
692,39780817,-1
1119,26535764,-1
471,52705169,-1
692,40840438,-1
1950,60699163,-1
1530,14592776,-1
1407,82187852,-1
1749,43748058,-1
1379,25957093,-1
1291,42088602,-1
1950,54518765,-1
70,32030907,-1
389,18537099,-1
450,28462489,-1
966,59880843,-1
191,71875014,-1
1468,30591382,-1
692,60936619,-1
692,75330959,-1
411,68164142,-1
311,21967298,-1
692,55146524,-1
727,35199130,-1
286,53653431,-1
1749,9053139,-1
1201,55748366,-1
411,70467958,-1
1119,71531875,-1
1415,78568070,-1
1918,74930390,-1
1468,60805680,-1
916,472556,-1
1714,15778485,-1
1379,71027941,-1
1790,9179948,-1
1468,22824958,-1
914,42545834,-1
1407,26647352,-1
1827,65549125,-1
1468,41112981,-1
1017,55417833,-1
1379,5824435,1
191,38550965,-1
1714,40781227,-1
2031,38934675,-1
561,7095546,-1
2201,33527188,-1
471,33747110,-1
369,2547501,-1
692,16575666,-1
692,42578305,-1
2031,36515048,-1
117,72478171,-1
1566,81750337,-1
1599,52741216,-1
1377,13094151,-1
70,16192505,-1
1496,19142350,-1
613,61478638,-1
2013,18203522,-1
939,79335121,-1
145,6478868,1
1201,63210288,-1
1566,56578237,-1
692,40545544,-1
1566,26879346,-1
1566,5844039,-1
2205,30023779,-1
121,68856842,-1
1291,65317635,-1
231,66500146,-1
1317,42845071,-1
1379,47701529,-1
2050,22353430,-1
411,64525720,-1
1379,34670480,-1
1605,68919608,-1
117,33520782,-1
692,14127011,-1
1530,47864496,-1
1894,66985153,-1
1291,7313912,1
1940,75373538,-1
1119,16725456,-1
1622,33846887,-1
70,56297536,-1
914,34259118,-1
1017,37612288,-1
411,41953988,-1
1530,60468903,-1
1291,79514951,-1
1918,67771261,-1
914,16915079,1
1119,21669527,-1
1605,47772941,-1
311,63906192,-1
1291,79324931,-1
1605,76437975,-1
231,5757405,-1
681,9410948,-1
1415,13827981,-1
136,14169797,-1
1021,14261958,-1
1021,65510275,-1
1119,35337682,-1
1415,4052561,1
1566,29543500,-1
792,40041647,-1
1918,3279776,-1
389,21668707,-1
411,52459392,-1
2050,72122282,-1
369,64534164,-1
1904,19797387,-1
792,12504029,-1
1044,27944362,-1
164,17752866,-1
1599,80300622,-1
432,29124560,-1
1291,65982844,-1
1407,79977408,-1
432,24540283,-1
561,78945890,-1
516,39588808,-1
1566,33424352,-1
914,11200879,-1
939,854563,-1
1017,58603167,-1
1503,41948364,-1
853,11561338,-1
1468,39868320,-1
12,30220176,-1
164,34831414,-1
2201,21650892,-1
70,76339211,-1
1284,33125197,-1
1017,34045457,-1
692,7737365,-1
411,7997389,-1
191,75739518,-1
692,76200390,-1
70,38780954,-1
117,66472418,-1
1714,48998566,-1
681,15552319,-1
1496,38453674,-1
1918,8782869,-1
1728,63219782,-1
1415,56538521,-1
1351,55385077,-1
1119,5714735,-1
692,12140252,-1
2118,37256220,-1
914,10598043,-1
1566,41402866,-1
1291,25879482,-1
411,37359195,-1
692,59525787,-1
1728,13162815,-1
2205,28540513,-1
1468,50579415,-1
916,15641747,-1
1468,13088947,-1
1566,49594105,-1
1119,42652438,-1
1530,11514415,-1
411,5059900,-1
1580,62346196,-1
792,34756558,-1
432,35178221,-1
519,62371148,-1
1291,55809162,-1
191,12181060,-1
846,18915574,-1
411,81998355,-1
432,63274053,-1
1201,77898355,-1
1827,74919512,1
1140,10837817,-1
136,57135790,1
692,25341605,-1
1468,79428570,-1
311,27321276,-1
411,14584356,-1
692,65166651,-1
302,110800,-1
932,27227649,-1
302,74183298,-1
519,25343850,-1
692,79119587,-1
1566,49382287,-1
681,51723294,-1
1468,52766196,-1
561,18837063,-1
1749,20674732,-1
404,27307229,-1
692,80537355,-1
1415,61283649,-1
1468,81328143,-1
1415,45433148,-1
1819,12019274,-1
1291,69213939,-1
2031,15859911,-1
2031,65793382,-1
914,47046214,-1
173,22726485,-1
336,57960711,-1
1468,60683700,-1
692,74088535,-1
1950,9850879,-1
1596,7200515,-1
1017,46175893,-1
432,33333792,-1
1728,77195856,1
727,31465506,1
191,82173639,-1
561,55237040,-1
1119,18737377,-1
613,69287617,-1
1566,70042720,-1
561,42953070,-1
432,79301325,-1
2118,1624913,-1
1749,75889074,-1
411,15203617,-1
1496,56464761,-1
1291,23667004,-1
1407,51932902,-1
1291,45502431,-1
1291,39873701,-1
1291,64134937,-1
1254,70590037,-1
692,54086340,-1
1017,64372096,-1
692,70052820,-1
1728,49359518,-1
302,31606569,-1
914,61546970,-1
432,28092222,-1
692,40210217,-1
1918,64830537,-1
846,13847196,1
1507,12532375,-1
1415,30609891,-1
1407,24177347,-1
543,66458766,-1
1017,76710616,1
1379,736205,-1
1596,46059862,-1
561,43124678,1
932,72454347,-1
1119,28438824,-1
1622,58165278,-1
1407,7912873,-1
1415,67882282,-1
117,70497814,-1
404,43091775,-1
70,66440311,1
2031,56437451,1
1566,9743433,-1
1716,63905201,-1
2068,16185174,-1
1317,51115144,-1
914,13223252,-1
302,34409202,-1
432,10375922,-1
1605,78715345,-1
692,9473086,-1
191,47786549,-1
231,9211023,-1
286,3123667,-1
1566,22884878,-1
1021,61487077,-1
1468,73541182,-1
699,30919640,-1
1407,44898061,-1
1027,37811290,-1
561,24717833,-1
471,82125880,-1
1468,64309484,-1
389,14181109,-1
2118,81466423,-1
212,33110618,-1
1512,25017403,-1
1596,23801095,-1
1781,45037857,-1
692,30663980,-1
1415,72002545,-1
1672,72891315,-1
1338,67404240,-1
894,46067254,-1
98,21882733,-1
1119,24190480,-1
1950,1945449,-1
121,19282270,-1
561,22311175,-1
1468,48213978,-1
1503,7352737,-1
1119,75101571,-1
1918,43321312,-1
914,56667467,-1
191,25704223,-1
903,3639253,-1
692,79783209,-1
932,13693933,-1
191,51582564,-1
1918,27821535,-1
1338,38339851,-1
2044,78207352,-1
692,25135790,1
2112,10919952,-1
136,4604438,-1
692,74580697,-1
916,61838573,-1
231,23855962,-1
1918,50126180,-1
389,73554973,-1
191,45610688,-1
12,32672359,-1
2050,41536205,-1
311,727107,-1
1415,60726581,-1
1599,73314975,-1
411,22307735,-1
1119,56595363,-1
411,10605371,-1
411,34648054,-1
1781,27048940,-1
692,33573019,-1
1119,58893524,-1
1017,62393471,-1
1291,37812643,-1
1119,33111807,-1
692,52085263,-1
1605,48454405,-1
903,40528186,-1
1605,72014014,-1
1021,35512484,-1
1291,3645742,-1
727,64298840,-1
1379,73706572,-1
191,81756131,-1
1044,74782157,-1
1291,15026334,-1
1468,30134156,-1
681,60116543,-1
624,72738106,-1
1635,15926553,-1
1449,63123571,-1
1841,41631779,-1
432,38793011,-1
1496,35252438,-1
886,77013488,-1
561,14520137,-1
692,37352255,-1
432,81659080,-1
1023,10623084,-1
1566,71832819,-1
1379,76328438,-1
272,60068890,-1
692,47612816,-1
1918,6552824,-1
966,28706432,-1
191,33187850,-1
846,39283443,-1
1918,38470588,-1
1119,56346345,-1
173,71013345,-1
70,57129964,1
1749,23821821,-1
369,1317205,-1
1566,52542557,-1
1379,70247382,-1
916,77303079,-1
1930,75500912,-1
191,11148890,-1
1468,28815679,-1
1415,6189714,-1
561,22614508,-1
191,6970222,-1
1918,55935860,-1
1596,21582189,-1
2118,59533849,-1
1027,35036295,-1
916,49021334,-1
561,5933203,-1
98,47832083,-1
692,36591918,-1
411,70767448,-1
1338,69288349,-1
692,76022699,-1
914,18176387,-1
